"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16"
"linear",0.199,0.432,0.106,0.0891,0.0788,0.114,0.0729,-0.0458,-0.00485,-0.0231,0.144,0.132,0.0953,0.104,0.0424,-0.0359,0.00829,0.0503
"linear_unadjusted",1.27,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stepwise",0.422,0.443,0.206,0.202,0.234,0.174,0.204,-0.142,-0.0862,NA,0.199,0.174,0.182,0.192,0.184,0.177,0.0257,0.145
"stepwise_X",0.909,0.436,0.0444,0.0773,0.0584,0.0987,0.0949,-0.0348,0.00253,-0.0705,NA,0.155,0.187,0.0804,0.0624,0.00701,0.0703,0.123
"two_step_lasso",0.213,0.431,0.183,0.176,0.124,0.144,0.205,-0.0893,-0.00477,-0.0101,0.164,0.171,0.122,0.128,0.129,-0.0312,0.012,0.1
"two_step_lasso_X",0.819,0.436,0.0575,0.0904,0.0905,0.0792,0.0999,-0.031,-0.00175,-0.0798,0.234,0.195,0.147,0.0826,0.074,-0.0513,0.00643,0.033
