"","pred_mse","model_SE","emp_SE","r_squared_X","r_squared_Y","causal_true_value","causal_estimate","causal_bias","causal_coverage","open_paths","blocked_paths"
"linear",0.8282,0.0293,0.0299,0.1066,0.3683,0.5,0.4968,-0.0032,0.95,16,16
"linear_unadjusted",0.9349,0.0292,0.0314,-0.001,0.287,0.5,0.584,0.084,0.21,16,0
"stepwise",0.8319,0.0289,0.0299,0.0833,0.3655,0.5,0.5001,1e-04,0.95,16,8.13
"stepwise_X",0.8555,0.0296,0.0292,0.1025,0.3474,0.5,0.5013,0.0013,0.96,16,7.56
"two_step_lasso",0.8289,0.0291,0.0297,0.0984,0.3678,0.5,0.4955,-0.0045,0.94,16,12.92
"two_step_lasso_X",0.8374,0.0294,0.0297,0.1057,0.3613,0.5,0.4953,-0.0047,0.94,16,12.35
