"","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16"
"linear",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"linear_unadjusted",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stepwise",1,0.4,0.3,0.3,0.5,0.3,0.2,0.3,0,0.6,0.7,0.3,0.3,0.1,0.1,0.3,0.2
"stepwise_X",1,0.3,0.6,0.6,0.6,0.3,0.4,0.7,0.2,0,0.2,0.2,0.4,0.1,0.1,0.3,0.3
"two_step_lasso",1,0.5,0.4,0.6,0.8,0.3,0.5,0.6,0.4,0.9,0.7,0.7,0.8,0.4,0.3,0.5,0.5
"two_step_lasso_X",1,0.4,0.7,0.6,0.5,0.5,0.6,0.7,0.5,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.4
