"","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16"
"linear",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"linear_unadjusted",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stepwise",1,0.79,0.82,0.81,0.73,0.24,0.31,0.25,0.21,0.72,0.76,0.68,0.77,0.26,0.25,0.27,0.26
"stepwise_X",1,0.75,0.65,0.68,0.7,0.72,0.62,0.7,0.79,0.28,0.19,0.25,0.24,0.31,0.25,0.2,0.23
"two_step_lasso",1,0.98,0.95,0.98,0.96,0.66,0.65,0.67,0.63,0.94,0.96,0.94,0.97,0.73,0.62,0.58,0.7
"two_step_lasso_X",1,0.96,0.93,0.91,0.95,0.93,0.89,0.96,0.97,0.55,0.51,0.7,0.58,0.69,0.59,0.57,0.66
